"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045202","synapse","400/3020","480/4550",0.833333333333333,1.25551876379691,8.3149939246249,1.5363662051914e-18,6.29910144128474e-16,6.29910144128474e-16,"CHRNB2/SHISA6/GAK/ADRA2A/GABRA2/GRIN3B/ZDHHC8/CACNA2D2/SHANK1/CRTAC1/KCNIP1/KCNB1/PCDH8/CPLX2/PTCH1/DOK7/FAM107A/GRID2IP/FLNA/CACNB3/ATP1B2/STXBP1/DBN1/ZNRF1/LRFN3/TSC2/MAP1S/P2RX6/SEMA4F/HCRTR1/RPS6KA2/CACNB1/GABBR1/GRIA1/BAIAP2/KCND1/TRPV1/TSC22D4/ADRB1/RHOB/GABRG1/RIMS3/KCNIP2/SNTA1/RAB13/DAGLA/LYNX1/SHANK2/NPTX1/HNRNPUL1/SLITRK1/MYH9/PRKAR1B/EHD1/LGI1/CLCN2/RAB40A/KCNJ9/PLXNA1/APOE/PLXNB1/TRPC5/SYT7/GIPC1/HOMER3/WASF3/MAPK8IP2/KCTD8/AKAP12/COLQ/SDK2/MYH10/ARFGAP1/STX1A/CDH15/HNRNPM/DAB1/CIB2/CPNE4/SH3GL1/IGSF8/ITPKA/ARHGEF15/PPP1R9B/NCDN/NOG/AGAP1/KCNC1/DENND1A/NEFH/CHRDL1/SYNGR1/TLN2/TMUB1/NXPH4/DLGAP3/GSG1L/CNTN4/KCNC4/SLC6A7/NPAS4/PSCA/DGKZ/GRIA4/GRIK4/RAB40C/OXT/BCAN/NR1D1/PDZRN3/CADM2/WASF2/SH2D5/AGRN/PPP2R1A/ASIC1/RAB11B/SYNGR3/DPYSL5/CACNG8/CACNA1A/NCKIPSD/HTR6/SIPA1L3/IQSEC3/SNPH/MPP2/DLGAP2/ATP2B2/TBC1D24/KCND2/IGF2BP1/BCR/GNA11/HSPG2/CORO1B/ADCY8/DMD/RTN2/TTYH1/NUMBL/DOC2A/SHANK3/IQSEC1/RPH3AL/CASKIN1/ATP2B3/PCDHB9/LZTS3/NECAB2/SLC6A9/LY6H/VLDLR/SLC29A4/LRFN4/RGS7BP/SYN1/ADAM11/TPPP/BSN/LRFN2/GNAO1/NRXN1/GPC1/APBB1/GPR179/PRKAR2B/AP3D1/APBA1/SLC6A4/GNB2/PCDHB4/HTR1B/LRRTM4/MAP1A/PRRT1/NOTCH1/SLC39A3/DMTN/SUSD4/SHARPIN/NOS1AP/AP3B2/HAP1/KCNK3/ATP1A2/PALM/MPST/SLC2A4/SLC12A5/IGSF9/CAPN5/FGFR1/HAPLN4/PLXND1/ABLIM3/GRIK5/SYT12/PTPRS/ARHGDIA/ELFN2/AGER/SYN3/CALM3/CLTB/NGFR/FXYD6/NMNAT2/GNG7/ASIC2/ABR/ADORA1/NLGN3/FLRT3/SCRIB/STX4/DLGAP4/GPR37/SYNGAP1/MAPT/PRKACA/FAAH/SNCG/EFNB1/MAPK8IP1/ACTN4/NSMF/NEFM/MAPRE3/PIANP/TMEM240/SGCA/SYN2/PRRT2/HCN1/ITGA3/SAMD4A/NTM/CAP2/FAIM2/SYT13/PLCB3/OLFM2/RUSC1/IQSEC2/DSCAML1/MYO9B/SYP/RAPSN/CC2D1A/SYNPO/NPHP4/ABHD17A/LRRC4B/CABP1/FCHSD1/DVL1/KIF5A/GIT1/OPRK1/GRIN2C/PLCXD3/TRIM47/HIP1/COL13A1/DGKQ/CNTN2/GDI1/SEMA4C/SLC17A7/DNM1/MAP1LC3A/PSD/ARHGAP22/KIF1A/GPC2/GRIK1/DRD4/BIN1/SYT17/PPFIA4/SLC1A7/HRAS/CRHR2/SHISA9/MECP2/CLSTN2/MAGEE1/STRN4/NRXN2/AP2A1/ARHGAP44/SYDE2/SLC29A1/UCN/CHRM5/PIP5K1C/GRIP2/PSD2/RAB11FIP3/GABRE/CPLX1/CSPG5/CDH23/BEGAIN/TSNARE1/SORCS2/ARHGAP33/RIMS4/AMOT/LHFPL4/PRR12/NTF3/SPTBN1/APBA3/BRSK1/CACFD1/VWC2/RMDN3/MINK1/PICK1/NPTXR/PURA/LZTS1/SAMD14/LRFN1/GRIPAP1/AGAP3/GRIK3/OPCML/SH3GL3/SYDE1/CTBP1/MICAL1/LAMB2/ABCC8/CNNM2/MDGA1/ARC/NLGN2/SPHK1/RGS12/FGB/BAIAP3/RNF112/PRAF2/CAMK1/RABAC1/ANK1/WFS1/PURG/PCDHB6/DAG1/LRRC7/GRIN2B/SH3GL2/VANGL2/SLC12A4/SLC9A5/SEMA4B/SRCIN1/CALB2/IGSF9B/HIP1R/CRYAB/CRMP1/CNIH2/VAMP2/ERBB2/DLG5/ARHGAP39/CTTN/MAPK3/RAC3/ABL1/GRID1/GRM2/TDRD5/ATP6V0E2/RAB17/C1QL3/SCN2B/NDUFS7/CAMK2A/DYNLL2/RASGRP2/STX1B/CDHR5/NTN1/KLHL17/LAMA5/CHRM3/PDE2A/SLC22A1/ERBB4/SYPL2/ATP6V1B1/CLSTN1/TNN/PRIMA1",400
"GO:0098794","postsynapse","223/3020","255/4550",0.874509803921569,1.31755616153746,7.33203913545332,2.27452819813944e-15,4.66278280618585e-13,4.66278280618585e-13,"CHRNB2/SHISA6/ADRA2A/GABRA2/GRIN3B/ZDHHC8/SHANK1/CRTAC1/KCNB1/PCDH8/CPLX2/PTCH1/DOK7/GRID2IP/FLNA/STXBP1/DBN1/LRFN3/TSC2/P2RX6/SEMA4F/GABBR1/GRIA1/BAIAP2/KCND1/TRPV1/GABRG1/DAGLA/SHANK2/SLITRK1/PRKAR1B/CLCN2/PLXNB1/GIPC1/HOMER3/WASF3/MAPK8IP2/KCTD8/MYH10/STX1A/ITPKA/ARHGEF15/PPP1R9B/NCDN/AGAP1/KCNC1/NEFH/TMUB1/DLGAP3/GSG1L/KCNC4/NPAS4/GRIA4/GRIK4/NR1D1/SH2D5/ASIC1/CACNG8/NCKIPSD/SIPA1L3/IQSEC3/MPP2/DLGAP2/ATP2B2/KCND2/IGF2BP1/BCR/ADCY8/DMD/RTN2/SHANK3/IQSEC1/CASKIN1/LZTS3/NECAB2/SLC6A9/LRFN4/RGS7BP/SYN1/TPPP/BSN/LRFN2/GNAO1/GPR179/PRKAR2B/AP3D1/APBA1/SLC6A4/LRRTM4/PRRT1/NOTCH1/DMTN/SUSD4/HAP1/ATP1A2/PALM/SLC12A5/IGSF9/FGFR1/GRIK5/PTPRS/ELFN2/AGER/SYN3/CALM3/NGFR/FXYD6/ASIC2/ABR/ADORA1/NLGN3/FLRT3/SCRIB/STX4/DLGAP4/SYNGAP1/MAPT/PRKACA/FAAH/ACTN4/NSMF/NEFM/TMEM240/SYN2/PRRT2/HCN1/NTM/CAP2/FAIM2/PLCB3/RUSC1/IQSEC2/MYO9B/RAPSN/SYNPO/ABHD17A/LRRC4B/CABP1/DVL1/KIF5A/GIT1/OPRK1/GRIN2C/TRIM47/HIP1/COL13A1/DGKQ/CNTN2/SEMA4C/SLC17A7/PSD/GRIK1/DRD4/SYT17/SLC1A7/SHISA9/CLSTN2/MAGEE1/STRN4/AP2A1/ARHGAP44/SLC29A1/CHRM5/PSD2/RAB11FIP3/GABRE/CPLX1/CSPG5/BEGAIN/SORCS2/ARHGAP33/AMOT/LHFPL4/PRR12/SPTBN1/APBA3/BRSK1/VWC2/RMDN3/MINK1/PICK1/PURA/LZTS1/SAMD14/LRFN1/GRIPAP1/AGAP3/GRIK3/OPCML/SH3GL3/ARC/NLGN2/RNF112/PRAF2/CAMK1/ANK1/DAG1/LRRC7/GRIN2B/SH3GL2/VANGL2/SLC9A5/SEMA4B/SRCIN1/IGSF9B/HIP1R/CRYAB/CRMP1/CNIH2/ERBB2/DLG5/CTTN/RAC3/ABL1/GRID1/GRM2/RAB17/CAMK2A/DYNLL2/KLHL17/CHRM3/ERBB4/CLSTN1",223
"GO:0043005","neuron projection","336/3020","416/4550",0.807692307692308,1.21688741721854,6.51945828296742,7.7801463634118e-12,1.06328666966628e-09,1.06328666966628e-09,"SBF1/CHRNB2/SHISA6/TPRN/ADRA2A/GABRA2/MARK4/ADCY6/UPF3A/SHANK1/CRTAC1/KCNIP1/KCNB1/PCDH8/MYPN/CPLX2/PTCH1/PLEC/FAM107A/TGFB1/FLNA/SPTBN5/STXBP1/DBN1/LRFN3/CLDN5/MAP1S/P2RX6/SEMA4F/LDLRAP1/TRAK2/KIF1C/GABBR1/GRIA1/BAIAP2/KCND1/TRPV1/TSC22D4/GABRG1/NAV2/INHA/KCNIP2/RAB13/DAGLA/LYNX1/SHANK2/PTPRQ/DMWD/IGHMBP2/LGI1/CLCN2/DCX/ATOH7/RGS11/APOE/TRPC5/SYT7/GIPC1/HOMER3/MARK2/MYH14/MYH10/STRC/STX1A/EMX2/HCN3/CIB2/FSCN2/ACAP3/ITPKA/ARHGEF15/GNB3/PPP1R9B/NCDN/KCNC1/ROBO3/TMEM151A/NEFH/MAPK8IP3/MYOC/FGF13/LMTK3/IFT140/SSTR5/ESPNL/CNTN4/INSRR/KCNN4/KCNC4/PRPH/HCN4/GRIA4/DHRS3/ARHGAP4/OXT/CSNK1E/NR1D1/TXNRD2/PDE6A/CADM2/PPP2R1A/NDRG2/ASIC1/DPYSL5/ZNF385A/CACNG8/GDPD5/HTR6/SNPH/MPP2/AUTS2/ATP2B2/CLIC5/TBC1D24/KCND2/IGF2BP1/BCR/LOXHD1/GNA11/RET/HSPG2/ADCY8/DMD/RTN2/MAG/RARA/IRX3/MAP7D2/DOC2A/RD3/BOC/FSCN1/SHANK3/ATP2B3/RTN4RL2/CX3CL1/PDZD7/LZTS3/NECAB2/SKOR1/RGS7BP/BASP1/SYN1/ADAM11/ATP1A4/BSN/PIEZO1/GNAO1/NRXN1/APBB1/GPR179/PRKAR2B/N4BP3/RGS9BP/AP3D1/APBA1/SLC6A4/PRPH2/HTR1B/ADAM21/MYO1C/MAP1A/CYGB/LLGL1/EPHA6/AP3B2/HAP1/ATP1A2/PALM/MPST/MAP4/GUCA1B/TAOK2/SLC12A5/PEX6/IGSF9/CACNA1F/BSG/RPTOR/PLXND1/MAP3K12/APOD/PTPRS/KATNB1/SPTBN4/CALM3/KNDC1/NGFR/TRIOBP/RGS6/NMNAT2/PTGDR2/ASIC2/ABR/PINK1/ADORA1/IGF1R/NLGN3/FLRT3/STX4/NEU4/GPR37/EPS8L2/SYNGAP1/MAPT/SNCG/EPHB6/OPN4/MAPK8IP1/NSMF/NEFM/BLOC1S3/NRSN2/PRRT2/HCN1/BRD1/SAMD4A/NRN1L/SYT13/AMIGO1/DSCAML1/BRSK2/SYP/RP1L1/SYNPO/NPHP4/ABHD17A/LRRC4B/DVL1/KCNB2/KIF5A/GIT1/OPRK1/ANKRD24/CNTN2/GDI1/SLC17A7/PSD/KIF1A/MAST1/DRD4/BIN1/DAB2IP/TUBB4A/CRHR2/SHISA9/MECP2/CLSTN2/PTPRF/MAGEE1/STRN4/MYO15A/CEP250/DNER/SSTR1/ARHGAP44/UCN/CHRM5/ROBO2/PSD2/GABRE/CPLX1/CDH23/GFRA1/SORCS2/DCTN1/JUP/LHFPL4/PRR12/SPTBN1/ADCY4/APBA3/BRSK1/MINK1/PICK1/PURA/LZTS1/SAMD14/GRIPAP1/GRIK3/FLRT1/NMNAT3/ULK1/MICAL1/MICALL2/MDGA1/ARC/ADCY9/NLGN2/KCNAB1/RGS12/RNF112/ANK1/WFS1/SCN1B/NUMA1/DAG1/LRRC7/GRIN2B/SLC9A5/TPGS1/SRCIN1/CALB2/STMN3/CCDC120/SMO/IGSF9B/HIP1R/CRYAB/CRMP1/CNIH2/COBL/VAMP2/RIN3/CTTN/RAC3/ABL1/GRID1/CYTH2/GRM2/JPH4/INPP5J/RAB17/SCN2B/BCAR1/CAMK2A/RASGRP2/PRCD/STX1B/MLPH/KIFC2/CHRM3/ROBO4/HSPB1/CLSTN1/TNN",336
"GO:0098978","glutamatergic synapse","159/3020","182/4550",0.873626373626374,1.31622516556291,6.11655002833784,3.69588800885484e-11,3.78828520907621e-09,3.78828520907621e-09,"SHISA6/ADRA2A/ZDHHC8/SHANK1/CRTAC1/PCDH8/CPLX2/GRID2IP/FLNA/STXBP1/DBN1/LRFN3/P2RX6/SEMA4F/GABBR1/GRIA1/BAIAP2/NPTX1/SLITRK1/PRKAR1B/EHD1/LGI1/PLXNA1/APOE/PLXNB1/GIPC1/HOMER3/WASF3/MYH10/STX1A/DAB1/CPNE4/SH3GL1/ITPKA/ARHGEF15/PPP1R9B/NCDN/DLGAP3/GSG1L/DGKZ/GRIK4/BCAN/PPP2R1A/ASIC1/DPYSL5/CACNG8/NCKIPSD/SIPA1L3/DLGAP2/ATP2B2/KCND2/BCR/CORO1B/ADCY8/NUMBL/DOC2A/CASKIN1/ATP2B3/VLDLR/LRFN4/RGS7BP/BSN/GNAO1/NRXN1/PRKAR2B/AP3D1/APBA1/PRRT1/NOTCH1/NOS1AP/SLC12A5/IGSF9/FGFR1/PLXND1/ABLIM3/GRIK5/PTPRS/SYN3/FXYD6/ABR/NLGN3/FLRT3/STX4/DLGAP4/SYNGAP1/PRKACA/FAAH/EFNB1/TMEM240/SYN2/PRRT2/HCN1/ITGA3/CC2D1A/SYNPO/ABHD17A/LRRC4B/DVL1/GIT1/GRIN2C/TRIM47/HIP1/DGKQ/SEMA4C/MAP1LC3A/ARHGAP22/GRIK1/DRD4/BIN1/SYT17/HRAS/SHISA9/CLSTN2/STRN4/NRXN2/AP2A1/ARHGAP44/GRIP2/PSD2/CPLX1/CSPG5/ARHGAP33/AMOT/SPTBN1/VWC2/RMDN3/NPTXR/PURA/LZTS1/GRIPAP1/AGAP3/GRIK3/SH3GL3/CTBP1/CNNM2/ARC/PRAF2/RABAC1/DAG1/SH3GL2/VANGL2/SEMA4B/SRCIN1/HIP1R/DLG5/ARHGAP39/CTTN/MAPK3/RAC3/ABL1/GRID1/GRM2/RAB17/C1QL3/DYNLL2/NTN1/LAMA5/ERBB4/CLSTN1",159
"GO:0099572","postsynaptic specialization","121/3020","134/4550",0.902985074626866,1.3604576455471,5.94987487862341,6.03190900591245e-11,4.94616538484821e-09,4.94616538484821e-09,"SHISA6/ADRA2A/GABRA2/GRIN3B/SHANK1/CRTAC1/KCNB1/GRID2IP/DBN1/LRFN3/TSC2/P2RX6/SEMA4F/GRIA1/BAIAP2/DAGLA/SHANK2/SLITRK1/HOMER3/MAPK8IP2/STX1A/PPP1R9B/NEFH/DLGAP3/GSG1L/GRIA4/GRIK4/SH2D5/ASIC1/CACNG8/SIPA1L3/IQSEC3/MPP2/DLGAP2/ATP2B2/KCND2/BCR/ADCY8/RTN2/SHANK3/IQSEC1/LZTS3/SLC6A9/LRFN4/RGS7BP/SYN1/BSN/LRFN2/PRRT1/NOTCH1/DMTN/PALM/SLC12A5/IGSF9/GRIK5/PTPRS/ELFN2/SYN3/NGFR/ASIC2/SCRIB/DLGAP4/SYNGAP1/NSMF/TMEM240/SYN2/PRRT2/NTM/CAP2/RUSC1/IQSEC2/RAPSN/SYNPO/ABHD17A/LRRC4B/CABP1/DVL1/GIT1/GRIN2C/SEMA4C/PSD/GRIK1/SHISA9/CLSTN2/ARHGAP44/SORCS2/ARHGAP33/AMOT/LHFPL4/PRR12/SPTBN1/BRSK1/MINK1/PICK1/LZTS1/SAMD14/LRFN1/AGAP3/GRIK3/OPCML/SH3GL3/ARC/NLGN2/RNF112/CAMK1/LRRC7/GRIN2B/VANGL2/SEMA4B/SRCIN1/IGSF9B/HIP1R/CNIH2/DLG5/ABL1/GRID1/CAMK2A/DYNLL2/KLHL17/ERBB4/CLSTN1",121
"GO:0030425","dendrite","175/3020","204/4550",0.857843137254902,1.29244578626152,6.00387048860575,1.16070982478134e-10,6.79844325943359e-09,6.79844325943359e-09,"SHISA6/GABRA2/MARK4/SHANK1/KCNIP1/KCNB1/PCDH8/CPLX2/PTCH1/FLNA/DBN1/LRFN3/MAP1S/P2RX6/SEMA4F/TRAK2/KIF1C/GABBR1/GRIA1/BAIAP2/KCND1/TRPV1/TSC22D4/GABRG1/KCNIP2/DAGLA/LYNX1/SHANK2/DMWD/LGI1/CLCN2/APOE/TRPC5/GIPC1/HOMER3/MARK2/MYH10/HCN3/ITPKA/ARHGEF15/GNB3/PPP1R9B/NCDN/KCNC1/TMEM151A/MAPK8IP3/FGF13/LMTK3/KCNC4/HCN4/GRIA4/NR1D1/TXNRD2/PPP2R1A/ASIC1/DPYSL5/ZNF385A/CACNG8/HTR6/MPP2/ATP2B2/KCND2/IGF2BP1/BCR/ADCY8/RARA/SHANK3/RTN4RL2/LZTS3/NECAB2/SKOR1/RGS7BP/SYN1/BSN/GNAO1/GPR179/PRKAR2B/N4BP3/APBA1/HTR1B/MAP1A/EPHA6/HAP1/ATP1A2/PALM/TAOK2/SLC12A5/IGSF9/RPTOR/APOD/KNDC1/NGFR/ASIC2/ABR/ADORA1/NLGN3/STX4/GPR37/SYNGAP1/MAPT/EPHB6/OPN4/MAPK8IP1/NSMF/PRRT2/HCN1/BRD1/SAMD4A/AMIGO1/SYNPO/ABHD17A/DVL1/KCNB2/KIF5A/GIT1/OPRK1/PSD/KIF1A/MAST1/DRD4/BIN1/DAB2IP/CRHR2/SHISA9/CLSTN2/MAGEE1/STRN4/DNER/ARHGAP44/UCN/CHRM5/PSD2/GABRE/CPLX1/SORCS2/LHFPL4/ADCY4/APBA3/MINK1/PURA/LZTS1/SAMD14/GRIPAP1/GRIK3/MDGA1/ARC/ADCY9/NLGN2/RGS12/WFS1/NUMA1/GRIN2B/SLC9A5/TPGS1/SRCIN1/CALB2/SMO/HIP1R/CRYAB/CRMP1/CNIH2/COBL/RIN3/CTTN/ABL1/GRID1/GRM2/JPH4/INPP5J/RAB17/CAMK2A/MLPH/KIFC2/CHRM3/TNN",175
"GO:0097447","dendritic tree","175/3020","204/4550",0.857843137254902,1.29244578626152,6.00387048860575,1.16070982478134e-10,6.79844325943359e-09,6.79844325943359e-09,"SHISA6/GABRA2/MARK4/SHANK1/KCNIP1/KCNB1/PCDH8/CPLX2/PTCH1/FLNA/DBN1/LRFN3/MAP1S/P2RX6/SEMA4F/TRAK2/KIF1C/GABBR1/GRIA1/BAIAP2/KCND1/TRPV1/TSC22D4/GABRG1/KCNIP2/DAGLA/LYNX1/SHANK2/DMWD/LGI1/CLCN2/APOE/TRPC5/GIPC1/HOMER3/MARK2/MYH10/HCN3/ITPKA/ARHGEF15/GNB3/PPP1R9B/NCDN/KCNC1/TMEM151A/MAPK8IP3/FGF13/LMTK3/KCNC4/HCN4/GRIA4/NR1D1/TXNRD2/PPP2R1A/ASIC1/DPYSL5/ZNF385A/CACNG8/HTR6/MPP2/ATP2B2/KCND2/IGF2BP1/BCR/ADCY8/RARA/SHANK3/RTN4RL2/LZTS3/NECAB2/SKOR1/RGS7BP/SYN1/BSN/GNAO1/GPR179/PRKAR2B/N4BP3/APBA1/HTR1B/MAP1A/EPHA6/HAP1/ATP1A2/PALM/TAOK2/SLC12A5/IGSF9/RPTOR/APOD/KNDC1/NGFR/ASIC2/ABR/ADORA1/NLGN3/STX4/GPR37/SYNGAP1/MAPT/EPHB6/OPN4/MAPK8IP1/NSMF/PRRT2/HCN1/BRD1/SAMD4A/AMIGO1/SYNPO/ABHD17A/DVL1/KCNB2/KIF5A/GIT1/OPRK1/PSD/KIF1A/MAST1/DRD4/BIN1/DAB2IP/CRHR2/SHISA9/CLSTN2/MAGEE1/STRN4/DNER/ARHGAP44/UCN/CHRM5/PSD2/GABRE/CPLX1/SORCS2/LHFPL4/ADCY4/APBA3/MINK1/PURA/LZTS1/SAMD14/GRIPAP1/GRIK3/MDGA1/ARC/ADCY9/NLGN2/RGS12/WFS1/NUMA1/GRIN2B/SLC9A5/TPGS1/SRCIN1/CALB2/SMO/HIP1R/CRYAB/CRMP1/CNIH2/COBL/RIN3/CTTN/ABL1/GRID1/GRM2/JPH4/INPP5J/RAB17/CAMK2A/MLPH/KIFC2/CHRM3/TNN",175
"GO:0014069","postsynaptic density","111/3020","123/4550",0.902439024390244,1.35963495396543,5.68035416816243,4.28353926883751e-10,2.19531387527922e-08,2.19531387527922e-08,"SHISA6/ADRA2A/GRIN3B/SHANK1/CRTAC1/GRID2IP/DBN1/LRFN3/TSC2/SEMA4F/GRIA1/BAIAP2/DAGLA/SHANK2/SLITRK1/HOMER3/MAPK8IP2/STX1A/PPP1R9B/NEFH/DLGAP3/GSG1L/GRIA4/GRIK4/SH2D5/ASIC1/CACNG8/IQSEC3/MPP2/DLGAP2/ATP2B2/BCR/ADCY8/RTN2/SHANK3/IQSEC1/LZTS3/SLC6A9/LRFN4/RGS7BP/SYN1/BSN/LRFN2/PRRT1/NOTCH1/DMTN/PALM/IGSF9/GRIK5/PTPRS/ELFN2/SYN3/NGFR/ASIC2/SCRIB/SYNGAP1/NSMF/TMEM240/SYN2/PRRT2/NTM/CAP2/RUSC1/IQSEC2/SYNPO/ABHD17A/LRRC4B/CABP1/DVL1/GIT1/GRIN2C/SEMA4C/PSD/GRIK1/SHISA9/CLSTN2/ARHGAP44/SORCS2/ARHGAP33/AMOT/PRR12/SPTBN1/BRSK1/MINK1/PICK1/LZTS1/SAMD14/LRFN1/AGAP3/GRIK3/OPCML/SH3GL3/ARC/RNF112/CAMK1/LRRC7/GRIN2B/VANGL2/SEMA4B/SRCIN1/IGSF9B/HIP1R/CNIH2/DLG5/ABL1/GRID1/CAMK2A/DYNLL2/KLHL17/ERBB4/CLSTN1",111
"GO:0097060","synaptic membrane","141/3020","162/4550",0.87037037037037,1.31131959774344,5.66821588618491,9.18614932987352e-10,4.18480136138683e-08,4.18480136138683e-08,"CHRNB2/SHISA6/ADRA2A/GABRA2/GRIN3B/CACNA2D2/SHANK1/KCNB1/PCDH8/PTCH1/DOK7/GRID2IP/STXBP1/DBN1/LRFN3/P2RX6/SEMA4F/GABBR1/GRIA1/BAIAP2/KCND1/TRPV1/GABRG1/RIMS3/DAGLA/SHANK2/SLITRK1/CLCN2/KCNJ9/PLXNB1/SYT7/KCTD8/STX1A/IGSF8/PPP1R9B/KCNC1/DENND1A/TMUB1/GSG1L/KCNC4/SLC6A7/GRIA4/GRIK4/ASIC1/CACNG8/IQSEC3/ATP2B2/KCND2/ADCY8/DMD/SHANK3/IQSEC1/ATP2B3/SLC6A9/LRFN4/RGS7BP/ADAM11/LRFN2/GNAO1/NRXN1/GPR179/APBA1/SLC6A4/HTR1B/LRRTM4/PRRT1/NOTCH1/SUSD4/PALM/SLC12A5/IGSF9/GRIK5/PTPRS/ELFN2/CLTB/FXYD6/ASIC2/ADORA1/NLGN3/FLRT3/SCRIB/EFNB1/TMEM240/PRRT2/HCN1/ITGA3/NTM/FAIM2/IQSEC2/SYP/RAPSN/ABHD17A/LRRC4B/OPRK1/GRIN2C/COL13A1/CNTN2/SEMA4C/GRIK1/SLC1A7/SHISA9/CLSTN2/MAGEE1/NRXN2/SYDE2/CHRM5/GABRE/CSPG5/SORCS2/RIMS4/LHFPL4/VWC2/PICK1/LRFN1/GRIPAP1/GRIK3/SYDE1/ABCC8/ARC/NLGN2/ANK1/DAG1/LRRC7/GRIN2B/VANGL2/SLC9A5/SEMA4B/IGSF9B/HIP1R/CRYAB/CNIH2/VAMP2/ERBB2/GRID1/GRM2/NDUFS7/STX1B/CHRM3/PDE2A/ERBB4/CLSTN1",141
"GO:0098984","neuron to neuron synapse","123/3020","139/4550",0.884892086330935,1.33319834198866,5.60476525091802,1.06426204877391e-09,4.36347439997304e-08,4.36347439997304e-08,"SHISA6/ADRA2A/GRIN3B/SHANK1/CRTAC1/GRID2IP/ATP1B2/DBN1/LRFN3/TSC2/SEMA4F/GRIA1/BAIAP2/DAGLA/SHANK2/SLITRK1/PRKAR1B/SYT7/HOMER3/MAPK8IP2/STX1A/IGSF8/PPP1R9B/NEFH/DLGAP3/GSG1L/GRIA4/GRIK4/SH2D5/ASIC1/CACNG8/IQSEC3/MPP2/DLGAP2/ATP2B2/BCR/ADCY8/RTN2/SHANK3/IQSEC1/LZTS3/SLC6A9/LRFN4/RGS7BP/SYN1/BSN/LRFN2/PRRT1/NOTCH1/SLC39A3/DMTN/PALM/IGSF9/GRIK5/SYT12/PTPRS/ELFN2/SYN3/NGFR/ASIC2/ADORA1/NLGN3/SCRIB/SYNGAP1/NSMF/MAPRE3/TMEM240/SYN2/PRRT2/NTM/CAP2/RUSC1/IQSEC2/SYNPO/ABHD17A/LRRC4B/CABP1/DVL1/GIT1/GRIN2C/SEMA4C/PSD/GRIK1/SHISA9/MECP2/CLSTN2/ARHGAP44/SORCS2/ARHGAP33/AMOT/PRR12/SPTBN1/BRSK1/MINK1/PICK1/LZTS1/SAMD14/LRFN1/AGAP3/GRIK3/OPCML/SH3GL3/ARC/NLGN2/RNF112/CAMK1/LRRC7/GRIN2B/VANGL2/SEMA4B/SRCIN1/IGSF9B/HIP1R/CNIH2/DLG5/ABL1/GRID1/C1QL3/CAMK2A/DYNLL2/KLHL17/ERBB4/CLSTN1",123
"GO:0032279","asymmetric synapse","114/3020","128/4550",0.890625,1.34183567880795,5.5109786692836,1.78977698954536e-09,6.67098696103271e-08,6.6709869610327e-08,"SHISA6/ADRA2A/GRIN3B/SHANK1/CRTAC1/GRID2IP/DBN1/LRFN3/TSC2/SEMA4F/GRIA1/BAIAP2/DAGLA/SHANK2/SLITRK1/HOMER3/MAPK8IP2/STX1A/PPP1R9B/NEFH/DLGAP3/GSG1L/GRIA4/GRIK4/SH2D5/ASIC1/CACNG8/IQSEC3/MPP2/DLGAP2/ATP2B2/BCR/ADCY8/RTN2/SHANK3/IQSEC1/LZTS3/SLC6A9/LRFN4/RGS7BP/SYN1/BSN/LRFN2/PRRT1/NOTCH1/DMTN/PALM/IGSF9/GRIK5/PTPRS/ELFN2/SYN3/NGFR/ASIC2/ADORA1/NLGN3/SCRIB/SYNGAP1/NSMF/TMEM240/SYN2/PRRT2/NTM/CAP2/RUSC1/IQSEC2/SYNPO/ABHD17A/LRRC4B/CABP1/DVL1/GIT1/GRIN2C/SEMA4C/PSD/GRIK1/SHISA9/MECP2/CLSTN2/ARHGAP44/SORCS2/ARHGAP33/AMOT/PRR12/SPTBN1/BRSK1/MINK1/PICK1/LZTS1/SAMD14/LRFN1/AGAP3/GRIK3/OPCML/SH3GL3/ARC/RNF112/CAMK1/LRRC7/GRIN2B/VANGL2/SEMA4B/SRCIN1/IGSF9B/HIP1R/CNIH2/DLG5/ABL1/GRID1/CAMK2A/DYNLL2/KLHL17/ERBB4/CLSTN1",114
